s.no,title,type,main_genre,listed_in,rating,main_country,release_year,year_added,month_added,date_added,day_of_week,duration_int,duration_type,director,cast,description
0,Dick Johnson Is Dead,Movie,Documentaries,Documentaries,PG-13,United States,2020,2021,9,25-09-21,Saturday,90,min,Kirsten Johnson,Not listed,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
1,Blood & Water,TV Show,International TV Shows,"International TV Shows, TV Dramas, TV Mysteries",TV-MA,South Africa,2021,2021,9,24-09-21,Friday,2,Seasons,unknown,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng","After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
2,Ganglands,TV Show,Crime TV Shows,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,various,2021,2021,9,24-09-21,Friday,1,Season,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
3,Jailbirds New Orleans,TV Show,Docuseries,"Docuseries, Reality TV",TV-MA,various,2021,2021,9,24-09-21,Friday,1,Season,unknown,Not listed,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
4,Kota Factory,TV Show,International TV Shows,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,India,2021,2021,9,24-09-21,Friday,2,Seasons,unknown,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar","In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
5,Midnight Mass,TV Show,TV Dramas,"TV Dramas, TV Horror, TV Mysteries",TV-MA,various,2021,2021,9,24-09-21,Friday,1,Season,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver","The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
6,My Little Pony: A New Generation,Movie,Children & Family Movies,Children & Family Movies,PG,various,2021,2021,9,24-09-21,Friday,91,min,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr","Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
7,Sankofa,Movie,Dramas,"Dramas, Independent Movies, International Movies",TV-MA,United States,1993,2021,9,24-09-21,Friday,125,min,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
8,The Great British Baking Show,TV Show,British TV Shows,"British TV Shows, Reality TV",TV-14,United Kingdom,2021,2021,9,24-09-21,Friday,9,Seasons,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood","A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
9,The Starling,Movie,Comedies,"Comedies, Dramas",PG-13,United States,2021,2021,9,24-09-21,Friday,104,min,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
10,"Vendetta: Truth, Lies and The Mafia",TV Show,Crime TV Shows,"Crime TV Shows, Docuseries, International TV Shows",TV-MA,various,2021,2021,9,24-09-21,Friday,1,Season,unknown,Not listed,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
